erlang index: 45, erlang: 46000, general blocking: 0.0116999, BBP: 0.0358617, Total current utilization: 0.317877, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 46, erlang: 47000, general blocking: 0.0127299, BBP: 0.0390132, Total current utilization: 0.322285, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 47, erlang: 48000, general blocking: 0.0132899, BBP: 0.0408602, Total current utilization: 0.324328, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 48, erlang: 49000, general blocking: 0.0146899, BBP: 0.0448724, Total current utilization: 0.329026, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 49, erlang: 50000, general blocking: 0.0152798, BBP: 0.0466644, Total current utilization: 0.329437, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 50, erlang: 51000, general blocking: 0.0167098, BBP: 0.0509383, Total current utilization: 0.334273, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 51, erlang: 52000, general blocking: 0.0175698, BBP: 0.0535573, Total current utilization: 0.335646, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 52, erlang: 53000, general blocking: 0.0185798, BBP: 0.0564039, Total current utilization: 0.338982, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 53, erlang: 54000, general blocking: 0.0196498, BBP: 0.0591033, Total current utilization: 0.3416, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 54, erlang: 55000, general blocking: 0.0201898, BBP: 0.0607946, Total current utilization: 0.343237, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
