erlang index: 41001, erlang: 41001, general blocking: 0.114159, BBP: 0, Total current utilization: 0.395829, Blocked by XT: 0, La ruta mas larga es de: 10300, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 42001, erlang: 42001, general blocking: 0.116619, BBP: 0, Total current utilization: 0.396376, Blocked by XT: 0, La ruta mas larga es de: 10300, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 43001, erlang: 43001, general blocking: 0.117749, BBP: 0, Total current utilization: 0.401611, Blocked by XT: 0, La ruta mas larga es de: 10300, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 44001, erlang: 44001, general blocking: 0.122189, BBP: 0, Total current utilization: 0.40402, Blocked by XT: 0, La ruta mas larga es de: 10300, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 45001, erlang: 45001, general blocking: 0.123689, BBP: 0, Total current utilization: 0.408049, Blocked by XT: 0, La ruta mas larga es de: 10300, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 46001, erlang: 46001, general blocking: 0.126189, BBP: 0, Total current utilization: 0.415457, Blocked by XT: 0, La ruta mas larga es de: 10300, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192 
erlang index: 47001, erlang: 47001, general blocking: 0.126509, BBP: 0, Total current utilization: 0.415182, Blocked by XT: 0, La ruta mas larga es de: 10300, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 48001, erlang: 48001, general blocking: 0.126529, BBP: 0, Total current utilization: 0.418689, Blocked by XT: 0, La ruta mas larga es de: 10300, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 49001, erlang: 49001, general blocking: 0.129519, BBP: 0, Total current utilization: 0.423465, Blocked by XT: 0, La ruta mas larga es de: 10300, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 50001, erlang: 50001, general blocking: 0.131309, BBP: 0, Total current utilization: 0.426689, Blocked by XT: 0, La ruta mas larga es de: 10300, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
