erlang index: 62, erlang: 63000, general blocking: 0.0185098, BBP: 0.0579726, Total current utilization: 0.364119, Blocked by XT: 210, Ruta mas larga: 1275, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.0176
erlang index: 63, erlang: 64000, general blocking: 0.0199598, BBP: 0.0625139, Total current utilization: 0.366562, Blocked by XT: 189, Ruta mas larga: 1275, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.0176
erlang index: 64, erlang: 65000, general blocking: 0.0214298, BBP: 0.0671179, Total current utilization: 0.367595, Blocked by XT: 188, Ruta mas larga: 1275, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.0176
erlang index: 65, erlang: 66000, general blocking: 0.0214298, BBP: 0.0671179, Total current utilization: 0.370993, Blocked by XT: 170, Ruta mas larga: 1275, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.0176
erlang index: 66, erlang: 67000, general blocking: 0.0221898, BBP: 0.0694982, Total current utilization: 0.37058, Blocked by XT: 196, Ruta mas larga: 1275, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.0176
erlang index: 67, erlang: 68000, general blocking: 0.0226098, BBP: 0.0708136, Total current utilization: 0.374793, Blocked by XT: 246, Ruta mas larga: 1275, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.0176
erlang index: 68, erlang: 69000, general blocking: 0.0237398, BBP: 0.0743527, Total current utilization: 0.37471, Blocked by XT: 254, Ruta mas larga: 1275, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.0176
erlang index: 69, erlang: 70000, general blocking: 0.0246098, BBP: 0.0770775, Total current utilization: 0.376895, Blocked by XT: 236, Ruta mas larga: 1325, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.0176
erlang index: 70, erlang: 71000, general blocking: 0.0256997, BBP: 0.0804914, Total current utilization: 0.378079, Blocked by XT: 251, Ruta mas larga: 1325, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.0176
erlang index: 71, erlang: 72000, general blocking: 0.0264597, BBP: 0.0828717, Total current utilization: 0.379652, Blocked by XT: 225, Ruta mas larga: 1325, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.0176
erlang index: 72, erlang: 73000, general blocking: 0.0270197, BBP: 0.0846256, Total current utilization: 0.381904, Blocked by XT: 219, Ruta mas larga: 1325, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.6229, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.0176
erlang index: 73, erlang: 74000, general blocking: 0.0276997, BBP: 0.0867553, Total current utilization: 0.385453, Blocked by XT: 188, Ruta mas larga: 1325, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.6229, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.0176
erlang index: 74, erlang: 75000, general blocking: 0.0283397, BBP: 0.0887598, Total current utilization: 0.385659, Blocked by XT: 238, Ruta mas larga: 1325, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.6229, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.0176
erlang index: 75, erlang: 76000, general blocking: 0.0290197, BBP: 0.0908895, Total current utilization: 0.386684, Blocked by XT: 215, Ruta mas larga: 1325, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.6229, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.0176
erlang index: 76, erlang: 77000, general blocking: 0.0295297, BBP: 0.0924868, Total current utilization: 0.389003, Blocked by XT: 250, Ruta mas larga: 1325, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.6229, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.0176
erlang index: 77, erlang: 78000, general blocking: 0.0299197, BBP: 0.0937083, Total current utilization: 0.391842, Blocked by XT: 237, Ruta mas larga: 1325, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.6229, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.0176
erlang index: 78, erlang: 79000, general blocking: 0.0314797, BBP: 0.0985941, Total current utilization: 0.393636, Blocked by XT: 195, Ruta mas larga: 1325, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.6229, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.0176
erlang index: 79, erlang: 80000, general blocking: 0.0315597, BBP: 0.0988447, Total current utilization: 0.395137, Blocked by XT: 255, Ruta mas larga: 1325, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.6229, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.0176
erlang index: 80, erlang: 81000, general blocking: 0.0324497, BBP: 0.101632, Total current utilization: 0.393072, Blocked by XT: 239, Ruta mas larga: 1325, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.6229, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.0176
